forecast_horizon_months,feature_set,model_id,n_predictions,n_countries,date_min,date_max,rmse,mae,bias,corr,directional_accuracy,active_directional_accuracy,predicted_positive_rate,actual_positive_rate,mean_actual_return,mean_predicted_return,strategy_mean_monthly_return,strategy_monthly_vol,strategy_annualized_sharpe,rmse_improvement_vs_historical_mean
1,with_gnc,distributed_lag,8259,19,2020-01-01,2026-04-01,0.0517908511897833,0.03777987042074064,-0.003805613991997457,0.717062653870309,0.8286717520280905,0.8286717520280905,0.6531057028695968,0.5914759656132704,0.007542273153033159,0.0037366591610357006,0.03361416575215892,0.04973358379728816,2.3413330989413077,0.13966282697382104
1,with_gnc,random_forest_panel,8259,19,2020-01-01,2026-04-01,0.053181451629848685,0.03726653985959337,-0.00337909667844568,0.606205138476742,0.8405375953505267,0.8405375953505267,0.6349436977842354,0.5914759656132704,0.007542273153033159,0.004163176474587478,0.03157353074727611,0.05105343918568373,2.142341840271381,0.11656250666761947
1,with_gnc,elastic_net_panel,8259,19,2020-01-01,2026-04-01,0.05762806954983362,0.042048575627557865,-0.004279725049724945,0.3511114259244884,0.7118295193122655,0.7118295193122655,0.6646083060903257,0.5914759656132704,0.007542273153033159,0.003262548103308212,0.018751565808346356,0.057023857079916584,1.139125494650765,0.042696358440226456
1,with_gnc,ols_predictive,8259,19,2020-01-01,2026-04-01,0.060197811646210186,0.04464983172456968,-0.004859556615342834,-0.033777433826092884,0.5591475965613271,0.5591475965613271,0.6656980263954474,0.5914759656132704,0.007542273153033159,0.002682716537690323,0.001992626199130511,0.05999475758235911,0.11505437996474996,8.42032348224997e-06
1,with_gnc,historical_mean,8259,19,2020-01-01,2026-04-01,0.06019831853552534,0.044652233352449736,-0.004853238463909314,-0.03433973915019459,0.5606005569681559,0.5606005569681559,0.666182346531057,0.5914759656132704,0.007542273153033159,0.0026890346891238434,0.0020375966540426434,0.05999324709007616,0.11765393944539441,0.0
1,with_gnc,always_positive,8259,19,2020-01-01,2026-04-01,0.9942428250636105,0.9924577268469671,0.9924577268469671,,0.5914759656132704,0.5914759656132704,1.0,0.5914759656132704,0.007542273153033159,1.0,0.007542273153033159,0.05955212516964053,0.43872826598221626,-15.51612286274856
2,with_gnc,distributed_lag,8233,19,2020-01-01,2026-03-01,0.07945680388193563,0.05931038383665717,-0.009141853198651328,0.41893595810446893,0.6854123648730718,0.6854123648730718,0.6810397182072149,0.611320296368274,0.01546878419098355,0.006326930992332222,0.031029182002276657,0.07952988237487879,1.3515453095205678,0.06506363536114113
2,with_gnc,random_forest_panel,8233,19,2020-01-01,2026-03-01,0.07967723245749987,0.05917809329886137,-0.007772547744922836,0.36990279041237856,0.6769099963561278,0.6769099963561278,0.7143204178306815,0.611320296368274,0.01546878419098355,0.007696236446060713,0.030492605089124627,0.07973715169963845,1.324721040160672,0.062469940661228684
2,with_gnc,elastic_net_panel,8233,19,2020-01-01,2026-03-01,0.08323585642389038,0.06218525887404803,-0.009482805526565604,0.17905408691073588,0.624195311551075,0.624195311551075,0.6863840641321511,0.611320296368274,0.01546878419098355,0.005985978664417948,0.019255765748049273,0.08316867085476788,0.8020319255193163,0.02059703876100183
2,with_gnc,historical_mean,8233,19,2020-01-01,2026-03-01,0.0849863230131472,0.06385900946655665,-0.010033074652266959,0.022117643088928482,0.5621280213773837,0.5621280213773837,0.679460706911211,0.611320296368274,0.01546878419098355,0.00543570953871659,0.007994394782384692,0.08499354080373311,0.32582941733957377,0.0
2,with_gnc,ols_predictive,8233,19,2020-01-01,2026-03-01,0.08498949036332203,0.06385638686863897,-0.010013018750235777,0.02178491366548573,0.5623709461921536,0.5623709461921536,0.6787319324669014,0.611320296368274,0.01546878419098355,0.005455765440747774,0.008025108982956284,0.08499064626242196,0.3270923826567825,-3.726894001920833e-05
2,with_gnc,always_positive,8233,19,2020-01-01,2026-03-01,0.9881043689531614,0.9845312158090165,0.9845312158090165,,0.611320296368274,0.611320296368274,1.0,0.611320296368274,0.01546878419098355,1.0,0.01546878419098355,0.08395551823403416,0.6382598955655168,-10.626628072852426
3,with_gnc,random_forest_panel,8182,19,2020-01-01,2026-02-01,0.09709473815485448,0.07336076541739639,-0.01371317944068723,0.30008688695512536,0.6329748227817159,0.6329748227817159,0.7280615986311415,0.6101197751161085,0.023796784247963186,0.010083604807275956,0.03209293989766411,0.09803910297527471,1.1339679939957714,0.04776710897974068
3,with_gnc,distributed_lag,8182,19,2020-01-01,2026-02-01,0.09790046904133341,0.07436168648521889,-0.015966790615344794,0.2941505039774122,0.6338303593253484,0.6338303593253484,0.6790515766316304,0.6101197751161085,0.023796784247963186,0.007829993632618392,0.03044592731313904,0.09856301544450967,1.0700543759153684,0.03986510042606917
3,with_gnc,elastic_net_panel,8182,19,2020-01-01,2026-02-01,0.10065608756502181,0.07649071403366788,-0.01616941689975633,0.14320929692811538,0.6010755316548522,0.6010755316548522,0.6748961134197018,0.6101197751161085,0.023796784247963186,0.007627367348206854,0.02173767196984209,0.10084193632017953,0.746728070958273,0.012840045894526697
3,with_gnc,historical_mean,8182,19,2020-01-01,2026-02-01,0.10196532704391612,0.07767421258923997,-0.01669912076228326,0.06523088071834848,0.560865314104131,0.560865314104131,0.6601075531654852,0.6101197751161085,0.023796784247963186,0.007097663485679928,0.01192996150988596,0.102466084739509,0.4033197817598708,0.0
3,with_gnc,ols_predictive,8182,19,2020-01-01,2026-02-01,0.1019814991972649,0.07768793525114454,-0.016725707861457082,0.06479719384393245,0.560254216572965,0.560254216572965,0.65876313859692,0.6101197751161085,0.023796784247963186,0.007071076386506102,0.012078213643884107,0.10244871526107241,0.40840101591450473,-0.00015860443758319853
3,with_gnc,always_positive,8182,19,2020-01-01,2026-02-01,0.9813501179536003,0.976203215752037,0.976203215752037,,0.6101197751161085,0.6101197751161085,1.0,0.6101197751161085,0.023796784247963186,1.0,0.023796784247963186,0.10037597104350966,0.8212570986010319,-8.624351202550805
4,with_gnc,random_forest_panel,8096,19,2020-01-01,2026-01-01,0.10609287419274237,0.08192818995206684,-0.021868138575369768,0.32124423361947485,0.6741600790513834,0.6741600790513834,0.745306324110672,0.6539031620553359,0.03529772429351291,0.013429585718143138,0.03994062649453872,0.10753073673975233,1.2866868854828237,0.05560561607023373
4,with_gnc,distributed_lag,8096,19,2020-01-01,2026-01-01,0.10883933022825748,0.08463843423081518,-0.025600336225082933,0.25146969462536656,0.6379693675889329,0.6379693675889329,0.665143280632411,0.6539031620553359,0.03529772429351291,0.00969738806842998,0.03235327688459494,0.11005170813485317,1.0183852718904811,0.031157813374848575
4,with_gnc,elastic_net_panel,8096,19,2020-01-01,2026-01-01,0.11111636074993435,0.08636147068177202,-0.025716102326201223,0.14400303644772466,0.6143774703557312,0.6143774703557312,0.6855237154150198,0.6539031620553359,0.03529772429351291,0.009581621967311691,0.02446235505889874,0.11207009491181198,0.7561346649727242,0.010888640227540214
4,with_gnc,historical_mean,8096,19,2020-01-01,2026-01-01,0.11233958608613707,0.0874494976421446,-0.02619825740599181,0.09051245354664667,0.5851037549407114,0.5851037549407114,0.6641551383399209,0.6539031620553359,0.03529772429351291,0.009099466887521106,0.018277909163837213,0.11324323831986034,0.5591197814120205,0.0
4,with_gnc,ols_predictive,8096,19,2020-01-01,2026-01-01,0.11237436306336769,0.08747905004617956,-0.026282648072234713,0.09009513956396176,0.584856719367589,0.584856719367589,0.6619318181818182,0.6539031620553359,0.03529772429351291,0.009015076221278196,0.018806372868081407,0.11315667602097926,0.5757255242733125,-0.00030957010295518117
4,with_gnc,always_positive,8096,19,2020-01-01,2026-01-01,0.9708566652197143,0.964702275706487,0.964702275706487,,0.6539031620553359,0.6539031620553359,1.0,0.6539031620553359,0.03529772429351291,1.0,0.03529772429351291,0.1091429505202664,1.1203188401356292,-7.642159892553849
5,with_gnc,random_forest_panel,7979,19,2020-01-01,2025-12-01,0.11681363840051068,0.09225349257396145,-0.028704589928645285,0.3256952212936863,0.6664995613485399,0.6664995613485399,0.7459581401178093,0.6779044993106905,0.04446940029771296,0.015764810369067666,0.04567573507631193,0.11877285498382692,1.3321679239924107,0.060443082892546185
5,with_gnc,distributed_lag,7979,19,2020-01-01,2025-12-01,0.121375817622725,0.09603625661460843,-0.03388738414466307,0.2108510373769942,0.6257676400551447,0.6257676400551447,0.6563479132723399,0.6779044993106905,0.04446940029771296,0.010582016153049892,0.03429091890566329,0.12254548843746076,0.9693317075992336,0.023748505923555707
5,with_gnc,elastic_net_panel,7979,19,2020-01-01,2025-12-01,0.12319353510721388,0.09747009271769705,-0.03400203781915588,0.13599320080757424,0.610101516480762,0.610101516480762,0.6547186364206041,0.6779044993106905,0.04446940029771296,0.010467362478557075,0.02883145900559596,0.1239435792099746,0.8058110338968271,0.009128217922225623
5,with_gnc,historical_mean,7979,19,2020-01-01,2025-12-01,0.1243284321296217,0.09835461785408768,-0.034381538574651635,0.09652103485243445,0.5854117057275348,0.5854117057275348,0.640305802732172,0.6779044993106905,0.04446940029771296,0.010087861723061316,0.021956708974628633,0.1253441932710649,0.6068112852873482,0.0
5,with_gnc,ols_predictive,7979,19,2020-01-01,2025-12-01,0.1243831394297767,0.09839155655979076,-0.03449867165717462,0.09592052551651553,0.5874169695450557,0.5874169695450557,0.6355433011655596,0.6779044993106905,0.04446940029771296,0.009970728640538338,0.02217534643235607,0.125305697661262,0.6130419831365091,-0.00044002244070728835
5,with_gnc,always_positive,7979,19,2020-01-01,2025-12-01,0.962940529451505,0.955530599702287,0.955530599702287,,0.6779044993106905,0.6779044993106905,1.0,0.6779044993106905,0.04446940029771296,1.0,0.04446940029771296,0.11922976261375504,1.2920139906220285,-6.745135307807689
1,no_gnc,distributed_lag,8259,19,2020-01-01,2026-04-01,0.051813271904834445,0.037840289017323274,-0.0038634444657019767,0.7125469000055856,0.8337571134519918,0.8337571134519918,0.6506841021915486,0.5914759656132704,0.007542273153033159,0.0036788286873311806,0.034222463276154434,0.04931697987354618,2.403839217504675,0.13929037944378064
1,no_gnc,random_forest_panel,8259,19,2020-01-01,2026-04-01,0.05294995224698147,0.037148387734602925,-0.0032079594674719815,0.6061583426104269,0.8392057149776002,0.8392057149776002,0.6418452597166727,0.5914759656132704,0.007542273153033159,0.004334313685561176,0.032044045112928896,0.050759439214160706,2.1868608115015693,0.12040811877936974
1,no_gnc,ols_predictive,8259,19,2020-01-01,2026-04-01,0.05518447927664013,0.039787766551989664,-0.004055436524948965,0.4710127348322641,0.7361666061266497,0.7361666061266497,0.6625499455139847,0.5914759656132704,0.007542273153033159,0.003486836628084192,0.022442430571288034,0.05567475915159772,1.3963753265268464,0.08328869278842654
1,no_gnc,elastic_net_panel,8259,19,2020-01-01,2026-04-01,0.057655642242365614,0.042087690914129866,-0.004293391571761704,0.3490141385817691,0.7103765589054365,0.7103765589054365,0.6631553456834968,0.5914759656132704,0.007542273153033159,0.003248881581271454,0.018629509408167988,0.05706384911436029,1.1309176410572417,0.04223832749845324
1,no_gnc,historical_mean,8259,19,2020-01-01,2026-04-01,0.06019831853552534,0.044652233352449736,-0.004853238463909314,-0.03433973915019459,0.5606005569681559,0.5606005569681559,0.666182346531057,0.5914759656132704,0.007542273153033159,0.0026890346891238434,0.0020375966540426434,0.05999324709007616,0.11765393944539441,0.0
1,no_gnc,always_positive,8259,19,2020-01-01,2026-04-01,0.9942428250636105,0.9924577268469671,0.9924577268469671,,0.5914759656132704,0.5914759656132704,1.0,0.5914759656132704,0.007542273153033159,1.0,0.007542273153033159,0.05955212516964053,0.43872826598221626,-15.51612286274856
2,no_gnc,random_forest_panel,8233,19,2020-01-01,2026-03-01,0.07923070786828283,0.05886677922645332,-0.0076463638952423835,0.37907999692787897,0.6776387708004372,0.6776387708004372,0.7218510870885461,0.611320296368274,0.01546878419098355,0.00782242029574117,0.030830442294596302,0.07960713632716625,1.3415855647564165,0.06772401653350713
2,no_gnc,distributed_lag,8233,19,2020-01-01,2026-03-01,0.07941749753447358,0.05928419427399656,-0.009194551649864914,0.41969515701716315,0.6891776995020041,0.6891776995020041,0.6799465565407506,0.611320296368274,0.01546878419098355,0.006274232541118636,0.031901754443379365,0.07918390233959671,1.3956235526141327,0.06552613739756841
2,no_gnc,ols_predictive,8233,19,2020-01-01,2026-03-01,0.08182103463520178,0.06082840886825134,-0.009383821026559878,0.2662067598126048,0.6429005222883517,0.6429005222883517,0.6769099963561278,0.611320296368274,0.01546878419098355,0.006084963164423673,0.020675324561847317,0.08282718925905151,0.8647091112097064,0.037244679681644244
2,no_gnc,elastic_net_panel,8233,19,2020-01-01,2026-03-01,0.08327452978072654,0.062232249348058204,-0.009503667428001588,0.17608617293600343,0.6215231385886069,0.6215231385886069,0.6868699137616907,0.611320296368274,0.01546878419098355,0.005965116762981964,0.019001571149719065,0.08322711469307721,0.7908885650144005,0.020141984871563934
2,no_gnc,historical_mean,8233,19,2020-01-01,2026-03-01,0.0849863230131472,0.06385900946655665,-0.010033074652266959,0.022117643088928482,0.5621280213773837,0.5621280213773837,0.679460706911211,0.611320296368274,0.01546878419098355,0.00543570953871659,0.007994394782384692,0.08499354080373311,0.32582941733957377,0.0
