key,basename,image_path,mask_path,port_id,patch_id,timestamp
jebel_ali__P1__L1C__20170104T065252Z__eoCC0.261__CRNA__ND0.000__512px,jebel_ali__P1__L1C__20170104T065252Z__eoCC0.261__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/jebel_ali__P1__L1C__20170104T065252Z__eoCC0.261__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/jebel_ali__P1__L1C__20170104T065252Z__eoCC0.261__CRNA__ND0.000__512px_mask.png,jebel_ali,P1,20170104T065252Z
kaohsiung__P1__L1C__20170106T023101Z__eoCC7.059__CRNA__ND0.000__512px,kaohsiung__P1__L1C__20170106T023101Z__eoCC7.059__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/kaohsiung__P1__L1C__20170106T023101Z__eoCC7.059__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/kaohsiung__P1__L1C__20170106T023101Z__eoCC7.059__CRNA__ND0.000__512px_mask.png,kaohsiung,P1,20170106T023101Z
abu_dhabi__P1__L1C__20170127T070141Z__eoCC47.492__CRNA__ND0.000__512px,abu_dhabi__P1__L1C__20170127T070141Z__eoCC47.492__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/abu_dhabi__P1__L1C__20170127T070141Z__eoCC47.492__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/abu_dhabi__P1__L1C__20170127T070141Z__eoCC47.492__CRNA__ND0.000__512px_mask.png,abu_dhabi,P1,20170127T070141Z
algeciras__P1__L1C__20170129T110311Z__eoCC11.522__CRNA__ND0.000__512px,algeciras__P1__L1C__20170129T110311Z__eoCC11.522__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/algeciras__P1__L1C__20170129T110311Z__eoCC11.522__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/algeciras__P1__L1C__20170129T110311Z__eoCC11.522__CRNA__ND0.000__512px_mask.png,algeciras,P1,20170129T110311Z
cai_mep__P1__L1C__20170207T030901Z__eoCC59.327__CRNA__ND0.000__512px,cai_mep__P1__L1C__20170207T030901Z__eoCC59.327__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/cai_mep__P1__L1C__20170207T030901Z__eoCC59.327__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/cai_mep__P1__L1C__20170207T030901Z__eoCC59.327__CRNA__ND0.000__512px_mask.png,cai_mep,P1,20170207T030901Z
long_beach__P3__L1C__20170213T183451Z__eoCC84.183__CRNA__ND0.000__512px,long_beach__P3__L1C__20170213T183451Z__eoCC84.183__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/long_beach__P3__L1C__20170213T183451Z__eoCC84.183__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/long_beach__P3__L1C__20170213T183451Z__eoCC84.183__CRNA__ND0.000__512px_mask.png,long_beach,P3,20170213T183451Z
long_beach__P4__L1C__20170213T183451Z__eoCC84.183__CR0.939__ND0.000__512px,long_beach__P4__L1C__20170213T183451Z__eoCC84.183__CR0.939__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/long_beach__P4__L1C__20170213T183451Z__eoCC84.183__CR0.939__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/long_beach__P4__L1C__20170213T183451Z__eoCC84.183__CR0.939__ND0.000__512px_mask.png,long_beach,P4,20170213T183451Z
shanghai__P3__L1C__20170215T022751Z__eoCC0.000__CRNA__ND0.000__512px,shanghai__P3__L1C__20170215T022751Z__eoCC0.000__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/shanghai__P3__L1C__20170215T022751Z__eoCC0.000__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/shanghai__P3__L1C__20170215T022751Z__eoCC0.000__CRNA__ND0.000__512px_mask.png,shanghai,P3,20170215T022751Z
algeciras__P1__L1C__20170221T111051Z__eoCC46.461__CRNA__ND0.000__512px,algeciras__P1__L1C__20170221T111051Z__eoCC46.461__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/algeciras__P1__L1C__20170221T111051Z__eoCC46.461__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/algeciras__P1__L1C__20170221T111051Z__eoCC46.461__CRNA__ND0.000__512px_mask.png,algeciras,P1,20170221T111051Z
tianjin__P4__L1C__20170224T030621Z__eoCC0.000__CRNA__ND0.000__512px,tianjin__P4__L1C__20170224T030621Z__eoCC0.000__CRNA__ND0.000__512px,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/images/tianjin__P4__L1C__20170224T030621Z__eoCC0.000__CRNA__ND0.000__512px.png,/zhome/da/1/205333/bachelor_seg/Final_Segmentation_LA_Edit/masks/tianjin__P4__L1C__20170224T030621Z__eoCC0.000__CRNA__ND0.000__512px_mask.png,tianjin,P4,20170224T030621Z
