country,date,GNC,n_ports,mean_NC,mean_observations_per_port,total_observations
Belgien,2017-01-26,0.04043178186137502,1,1927.0,1.0,1
Belgien,2017-02-15,-0.010244438503600638,1,1570.0,1.0,1
Belgien,2017-03-27,0.06420932952027728,1,20480.0,6.0,6
Belgien,2017-03-30,-0.9005742021237166,1,1374.0,1.0,1
Belgien,2017-04-09,0.013843202862352477,1,1578.0,1.0,1
Belgien,2017-04-11,-0.12906368596227402,1,1219.0,1.0,1
Belgien,2017-04-16,0.01070115506325866,1,1286.0,1.0,1
Belgien,2017-04-19,-0.02223939627429535,1,1203.0,1.0,1
Belgien,2017-05-06,0.172949543209955,1,22759.0,6.0,6
Belgien,2017-05-09,-0.944345868284247,1,1339.0,1.0,1
Belgien,2017-05-26,0.16769953597330597,1,23169.0,5.0,5
Belgien,2017-05-29,-0.9281472258936411,1,1431.0,1.0,1
Belgien,2017-06-08,-0.02576235974741703,1,1106.0,1.0,1
Belgien,2017-06-10,1.486087433141877,1,21605.0,6.0,6
Belgien,2017-06-13,-1.0077275591630277,1,1051.0,1.0,1
Belgien,2017-06-15,0.034908571581412584,1,1127.0,1.0,1
Belgien,2017-06-18,-0.02169034992452327,1,1056.0,1.0,1
Belgien,2017-06-20,0.884142668736577,1,6189.0,2.0,2
Belgien,2017-06-23,-0.48836635949513596,1,1430.0,1.0,1
Belgien,2017-07-05,0.20632431489098205,1,17006.0,4.0,4
Belgien,2017-07-18,-0.1907226468648451,1,1425.0,1.0,1
Belgien,2017-07-23,0.01681662344210828,1,1550.0,1.0,1
Belgien,2017-08-07,-0.019899532570399774,1,1150.0,1.0,1
Belgien,2017-08-14,0.34905786808290856,1,13239.0,3.0,3
Belgien,2017-08-24,-0.26632930634348045,1,923.0,1.0,1
Belgien,2017-08-27,0.09841247469874374,1,1240.0,1.0,1
Belgien,2017-08-29,1.4419947134570394,1,22178.0,5.0,5
Belgien,2017-09-13,-0.02149303791862695,1,16066.0,3.0,3
Belgien,2017-09-21,-0.30458349187073896,1,1405.0,1.0,1
Belgien,2017-09-23,0.445386077746893,1,3424.0,2.0,2
Belgien,2017-09-26,-0.30363407951099247,1,1377.0,1.0,1
Belgien,2017-09-28,0.14790940692242138,1,1851.0,1.0,1
Belgien,2017-10-16,-0.01441395387077598,1,1428.0,1.0,1
Belgien,2017-10-18,1.3845405887150517,1,22768.0,6.0,6
Belgien,2017-11-07,-0.08043457645328748,1,4557.0,3.0,3
Belgien,2017-11-17,-0.01672935052664535,1,3855.0,2.0,2
Belgien,2017-11-22,0.36320392987585104,1,23698.0,6.0,6
Belgien,2017-12-17,-0.09213379757491154,1,2368.0,2.0,2
Belgien,2018-01-14,-0.019000814431444763,1,1391.0,1.0,1
Belgien,2018-01-21,0.07015394741844284,1,2273.0,1.0,1
Belgien,2018-01-26,-0.12993428584857494,1,1187.0,1.0,1
Belgien,2018-02-05,0.27167736249837937,1,17961.0,5.0,5
Belgien,2018-02-08,-0.894271970295458,1,1228.0,1.0,1
Belgien,2018-02-10,-0.09574196227797938,1,1014.0,1.0,1
Belgien,2018-02-13,0.08205033338843837,1,1297.0,1.0,1
Belgien,2018-02-18,0.009926849476017807,1,1363.0,1.0,1
Belgien,2018-02-20,0.9012312816875725,1,8266.0,3.0,3
Belgien,2018-02-25,0.19785840237731273,1,22230.0,6.0,6
Belgien,2018-02-28,-0.9164594655316852,1,1422.0,1.0,1
Belgien,2018-03-20,-3.517411330427045e-05,1,1421.0,1.0,1
Belgien,2018-04-06,0.16804811565911185,1,24734.0,6.0,6
Belgien,2018-04-16,-0.26947565657066086,1,1671.0,1.0,1
Belgien,2018-04-19,-0.03531971294747294,1,1503.0,1.0,1
Belgien,2018-04-21,1.4044247158470995,1,24936.0,6.0,6
Belgien,2018-04-26,-0.5720075357095288,1,1428.0,1.0,1
Belgien,2018-05-01,0.4447580878087676,1,13198.0,5.0,5
Belgien,2018-05-04,-0.7163108160348294,1,1539.0,1.0,1
Belgien,2018-05-06,1.4242684946220234,1,26567.0,6.0,6
Belgien,2018-05-09,-1.0872766419908195,1,1018.0,1.0,1
Belgien,2018-05-11,1.3818233005235303,1,16143.0,5.0,5
Belgien,2018-05-21,0.049081632207566096,1,26372.0,5.0,5
Belgien,2018-05-24,-0.9781343508795514,1,1402.0,1.0,1
Belgien,2018-05-26,1.4634524840721008,1,26175.0,6.0,6
Belgien,2018-05-31,-0.5358485573753183,1,1796.0,1.0,1
Belgien,2018-06-03,-0.20534039245490554,1,970.0,1.0,1
Belgien,2018-06-13,0.033130426646277036,1,1351.0,1.0,1
Belgien,2018-06-15,-0.18778430258699919,1,928.0,1.0,1
Belgien,2018-06-23,0.021367800492059885,1,1101.0,1.0,1
Belgien,2018-06-25,0.5112614011113661,1,3061.0,1.0,1
Belgien,2018-06-28,-0.35856072350094276,1,1044.0,1.0,1
Belgien,2018-06-30,1.6037543910701215,1,25805.0,6.0,6
Belgien,2018-07-03,-1.0487360854254824,1,1110.0,1.0,1
Belgien,2018-07-05,1.600273353009813,1,27246.0,6.0,6
Belgien,2018-07-08,-1.0356252902815781,1,1219.0,1.0,1
Belgien,2018-07-13,0.006457380912615207,1,1259.0,1.0,1
Belgien,2018-07-15,1.5330927777426395,1,27018.0,6.0,6
Belgien,2018-07-23,-0.3806208355915077,1,1286.0,1.0,1
Belgien,2018-07-25,1.4734661946375551,1,24495.0,5.0,5
Belgien,2018-07-28,-1.0028918144859607,1,1209.0,1.0,1
Belgien,2018-07-30,-0.004152847793639225,1,1199.0,1.0,1
Belgien,2018-08-02,0.06883063924058923,1,1474.0,1.0,1
Belgien,2018-08-04,1.396327019422094,1,24062.0,6.0,6
Belgien,2018-08-07,-0.9626547395495043,1,1340.0,1.0,1
Belgien,2018-08-17,0.021113139486620636,1,1655.0,1.0,1
Belgien,2018-09-01,-0.009555551110106524,1,1434.0,1.0,1
Belgien,2018-09-11,0.008357684789821107,1,1559.0,1.0,1
Belgien,2018-09-13,0.21257726713233271,1,2385.0,2.0,2
Belgien,2018-09-18,0.45704043546848255,1,23439.0,5.0,5
Belgien,2018-09-26,-0.3238491865597197,1,1757.0,1.0,1
Belgien,2018-10-03,-0.015168994595154877,1,1580.0,1.0,1
Belgien,2018-10-06,-0.008980658651807971,1,1538.0,1.0,1
Belgien,2018-10-08,1.3661017410666858,1,23634.0,6.0,6
Belgien,2018-10-11,-0.8383532293195625,1,1911.0,1.0,1
Belgien,2018-10-13,1.3110091583308185,1,26302.0,6.0,6
Belgien,2018-10-16,-0.924576656963179,1,1642.0,1.0,1
Belgien,2018-10-21,-0.02487029091955062,1,1450.0,1.0,1
Belgien,2018-10-23,0.1962539812320805,1,2147.0,2.0,2
Belgien,2018-10-28,0.4778183525212352,1,23410.0,6.0,6
Belgien,2018-10-31,-0.8218437605436616,1,1989.0,1.0,1
Belgien,2018-11-15,-0.009377821965998123,1,1728.0,1.0,1
Belgien,2018-11-17,1.3492960165338341,1,25676.0,6.0,6
Belgien,2018-12-12,-0.008047085322960754,1,20997.0,5.0,5
Belgien,2018-12-17,-0.3999743081401208,1,2842.0,2.0,2
Belgien,2018-12-22,-0.09962444610207352,1,1727.0,1.0,1
Belgien,2018-12-25,0.041845914981259114,1,1958.0,1.0,1
Belgien,2019-01-09,-0.007677932563595213,1,1745.0,1.0,1
Belgien,2019-01-19,0.01253316775461295,1,1978.0,1.0,1
Belgien,2019-01-21,1.2920655439883655,1,26212.0,6.0,6
Belgien,2019-01-29,-0.33947330535236264,1,1734.0,1.0,1
Belgien,2019-02-15,0.1559635392872505,1,24577.0,6.0,6
Belgien,2019-02-18,-0.9133218682324454,1,1587.0,1.0,1
Belgien,2019-02-20,1.348767561769026,1,23556.0,6.0,6
Belgien,2019-02-23,-0.8207471210842806,1,2008.0,1.0,1
Belgien,2019-02-25,1.306026267018324,1,27363.0,6.0,6
Belgien,2019-03-05,-0.3543528311388444,1,1607.0,1.0,1
Belgien,2019-03-22,0.1629445599386371,1,25647.0,6.0,6
Belgien,2019-03-25,-0.939284178131269,1,1532.0,1.0,1
Belgien,2019-03-30,-0.04521704211379909,1,1222.0,1.0,1
Belgien,2019-04-01,1.5090934720580647,1,24995.0,6.0,6
Belgien,2019-04-11,-0.2997935138167634,1,1247.0,1.0,1
Belgien,2019-04-16,0.6082236032684311,1,26098.0,5.0,5
Belgien,2019-04-19,-1.0688079920506512,1,1057.0,1.0,1
Belgien,2019-04-21,1.6258175643580084,1,27305.0,6.0,6
Belgien,2019-04-29,-0.400226165618328,1,1111.0,1.0,1
Belgien,2019-05-06,0.052106159798320305,1,1600.0,1.0,1
Belgien,2019-05-11,-0.008034232937855278,1,1537.0,1.0,1
Belgien,2019-05-14,-0.03183512809387808,1,1397.0,1.0,1
Belgien,2019-05-16,-0.03138719487646391,1,1312.0,1.0,1
Belgien,2019-05-24,0.020676385580704837,1,1548.0,1.0,1
Belgien,2019-06-18,-0.010052577131236261,1,1204.0,1.0,1
Belgien,2019-06-23,0.036076338395225706,1,1442.0,1.0,1
Belgien,2019-06-25,1.420568255436641,1,24709.0,6.0,6
Belgien,2019-06-28,-0.9949414395308663,1,1249.0,1.0,1
Belgien,2019-06-30,1.3978687230371563,1,20452.0,4.0,4
Belgien,2019-07-03,-0.889611083035939,1,1418.0,1.0,1
Belgien,2019-07-05,0.770725994486511,1,6624.0,3.0,3
Belgien,2019-07-23,-0.11009548974834038,1,913.0,1.0,1
Belgien,2019-07-25,1.69004635112231,1,26818.0,6.0,6
Belgien,2019-07-30,-0.019579521926305788,1,24317.0,5.0,5
Belgien,2019-08-04,-0.2799499227798211,1,5998.0,2.0,2
Belgien,2019-08-07,-0.5493973040803027,1,1154.0,1.0,1
Belgien,2019-08-19,0.09443711058556459,1,3584.0,2.0,2
Belgien,2019-08-22,-0.3913076355958636,1,1108.0,1.0,1
Belgien,2019-08-24,1.5618062876852865,1,25183.0,6.0,6
Belgien,2019-08-27,-0.9818372353936162,1,1324.0,1.0,1
Belgien,2019-09-08,0.026560695269221224,1,1821.0,1.0,1
Belgien,2019-09-18,-0.015086120317686014,1,1566.0,1.0,1
Belgien,2019-09-21,-0.009280841218528716,1,1523.0,1.0,1
Belgien,2019-10-18,0.07619259114585228,1,11916.0,2.0,2
Belgien,2019-10-23,-0.28464432674242185,1,2871.0,1.0,1
Belgien,2019-10-26,-0.06660654386033175,1,2351.0,1.0,1
Belgien,2019-10-31,-0.04879776634496338,1,1842.0,1.0,1
Belgien,2019-11-02,0.9078595674709606,1,11320.0,3.0,3
Belgien,2019-11-05,-0.624612015310612,1,1738.0,1.0,1
Belgien,2019-11-10,0.023223892229539977,1,1952.0,1.0,1
Belgien,2019-11-17,0.3520475315738482,1,22947.0,5.0,5
Belgien,2019-11-20,-0.8624602054488673,1,1726.0,1.0,1
Belgien,2019-11-22,1.1555041908530432,1,17406.0,4.0,4
Belgien,2019-11-30,-0.3185744063372492,1,1361.0,1.0,1
Belgien,2019-12-12,0.20028533441191754,1,15054.0,4.0,4
Belgien,2019-12-15,-0.7333394775585947,1,1668.0,1.0,1
Belgien,2019-12-30,0.015670842903428017,1,2110.0,1.0,1
Belgien,2020-01-01,-0.1308978528742446,1,1624.0,1.0,1
Belgien,2020-01-04,0.04808320294818221,1,1876.0,1.0,1
Belgien,2020-01-06,1.1588576275939109,1,19046.0,5.0,5
Belgien,2020-01-16,0.016108715838906384,1,22375.0,6.0,6
Belgien,2020-01-19,-0.7277628719850453,1,2521.0,1.0,1
Belgien,2020-01-26,0.2874687969768148,1,18858.0,5.0,5
Belgien,2020-02-05,-0.21027246062049382,1,2303.0,1.0,1
Belgien,2020-02-10,0.11797182092307441,1,4154.0,2.0,2
Belgien,2020-02-13,-0.24547990852736165,1,1989.0,1.0,1
Belgien,2020-02-25,0.0016181738214250767,1,2028.0,1.0,1
Belgien,2020-03-01,0.011124631495923864,1,2144.0,1.0,1
Belgien,2020-03-16,0.015149308569080885,1,2691.0,2.0,2
Belgien,2020-03-21,0.46553709720821457,1,27594.0,6.0,6
Belgien,2020-03-24,-0.9494066413113416,1,1599.0,1.0,1
Belgien,2020-03-26,1.3761467391591928,1,25070.0,6.0,6
Belgien,2020-03-31,0.007707555238194885,1,26055.0,6.0,6
Belgien,2020-04-03,-1.0049711108019448,1,1278.0,1.0,1
Belgien,2020-04-05,1.5169608489595099,1,26555.0,6.0,6
Belgien,2020-04-08,-0.9657876038017775,1,1465.0,1.0,1
Belgien,2020-04-10,1.4781656696918604,1,28168.0,6.0,6
Belgien,2020-04-15,-0.004415031852054341,1,27553.0,6.0,6
Belgien,2020-04-20,0.011165755600511673,1,29135.0,6.0,6
Belgien,2020-04-23,-1.1064492501586223,1,1054.0,1.0,1
Belgien,2020-04-25,0.8624495236555898,1,5915.0,2.0,2
Belgien,2020-05-05,0.14869311423938214,1,26165.0,6.0,6
Belgien,2020-05-15,0.0025023478413318755,1,26828.0,6.0,6
Belgien,2020-05-18,-0.987674739156593,1,1386.0,1.0,1
Belgien,2020-05-20,0.46715461868841635,1,3528.0,2.0,2
Belgien,2020-05-23,-0.3437359932887653,1,1258.0,1.0,1
Belgien,2020-05-25,0.624789126213924,1,4389.0,2.0,2
Belgien,2020-05-28,-0.42159893601969706,1,1239.0,1.0,1
Belgien,2020-05-30,1.5620297349217904,1,28173.0,6.0,6
Belgien,2020-06-02,-1.012506337837508,1,1351.0,1.0,1
Belgien,2020-06-07,-0.026389304503249632,1,1184.0,1.0,1
Belgien,2020-06-14,0.266730492470098,1,7660.0,3.0,3
Belgien,2020-06-22,-0.21111030658216234,1,1415.0,1.0,1
Belgien,2020-06-24,1.4630414762129873,1,26396.0,6.0,6
Belgien,2020-07-07,-0.19297502360573515,1,2148.0,1.0,1
Belgien,2020-07-12,-0.08647197286165724,1,1394.0,1.0,1
Belgien,2020-07-22,-0.0008645586992853893,1,1382.0,1.0,1
Belgien,2020-07-29,0.011323307743829503,1,1496.0,1.0,1
Belgien,2020-08-06,0.02052775298293097,1,1763.0,1.0,1
Belgien,2020-08-08,1.3602632033368578,1,26777.0,6.0,6
Belgien,2020-08-13,-0.1297686374244062,1,13995.0,4.0,4
Belgien,2020-09-12,-0.06901831441940524,1,1765.0,1.0,1
Belgien,2020-09-15,-0.07249793959069677,1,1420.0,1.0,1
Belgien,2020-09-17,1.439619009868732,1,25277.0,6.0,6
Belgien,2020-09-20,-0.862329642409145,1,1902.0,1.0,1
Belgien,2020-09-22,1.3350214559924454,1,27466.0,6.0,6
Belgien,2020-10-12,-0.12975545414788864,1,2050.0,1.0,1
Belgien,2020-11-04,0.010782726850134207,1,2627.0,1.0,1
Belgien,2020-11-06,1.1922412702924978,1,28512.0,6.0,6
Belgien,2020-11-09,-0.8867274599162508,1,1994.0,1.0,1
Belgien,2020-11-14,-0.2096494416575947,1,699.0,1.0,1
Belgien,2020-11-24,0.08199499782925992,1,1587.0,1.0,1
Belgien,2020-12-16,0.10484875028750128,1,15935.0,4.0,4
Belgien,2021-01-10,-0.0021158592508308516,1,15114.0,3.0,3
Belgien,2021-01-23,-0.14526004242752963,1,2287.0,1.0,1
Belgien,2021-01-25,1.0160493668038963,1,17450.0,4.0,4
Belgien,2021-02-04,0.01972054643020673,1,21254.0,6.0,6
Belgien,2021-02-17,-0.16700969574949506,1,2424.0,1.0,1
Belgien,2021-02-24,0.33838686623910963,1,25897.0,5.0,5
Belgien,2021-02-27,-0.8867493176598531,1,1811.0,1.0,1
Belgien,2021-03-11,0.00906026336911873,1,2019.0,1.0,1
Belgien,2021-03-14,-0.003485219701446477,1,1998.0,1.0,1
Belgien,2021-03-19,0.043383601311210815,1,2482.0,1.0,1
Belgien,2021-03-24,-0.030307049458640378,1,2133.0,1.0,1
Belgien,2021-03-26,0.07151916595985242,1,2461.0,1.0,1
Belgien,2021-03-29,-0.09047530694162849,1,1876.0,1.0,1
Belgien,2021-03-31,1.3548062952274518,1,28184.0,6.0,6
Belgien,2021-04-08,-0.33032646893739903,1,2006.0,1.0,1
Belgien,2021-04-13,-0.014469117422918388,1,1866.0,1.0,1
Belgien,2021-04-23,-0.005848329337509206,1,1760.0,1.0,1
Belgien,2021-04-25,1.3940114881302978,1,28598.0,5.0,5
Belgien,2021-05-05,-0.22797004827127232,1,2926.0,1.0,1
Belgien,2021-05-18,-0.028999633291056294,1,2007.0,1.0,1
Belgien,2021-05-28,0.014017346055815772,1,2309.0,1.0,1
Belgien,2021-05-30,1.30279438605046,1,31262.0,6.0,6
Belgien,2021-06-02,-0.9081878364409874,1,2050.0,1.0,1
Belgien,2021-06-04,-0.04809430714772045,1,1862.0,1.0,1
Belgien,2021-06-07,-0.03230754997329773,1,1690.0,1.0,1
Belgien,2021-06-09,0.7759169359970048,1,7977.0,3.0,3
Belgien,2021-06-12,-0.47249640023426603,1,1933.0,1.0,1
Belgien,2021-06-14,1.404283568992338,1,32061.0,6.0,6
Belgien,2021-07-02,-0.15734012613819784,1,1888.0,1.0,1
Belgien,2021-07-17,0.007284823065898335,1,2106.0,1.0,1
Belgien,2021-07-19,1.1778761120972763,1,22210.0,5.0,5
Belgien,2021-07-22,-0.7839869168194301,1,2114.0,1.0,1
Belgien,2021-08-03,0.009455319131142762,1,2368.0,1.0,1
Belgien,2021-08-11,-0.020737878435251877,1,2006.0,1.0,1
Belgien,2021-08-23,0.01494383731784632,1,2400.0,1.0,1
Belgien,2021-09-02,-0.15547130127448536,1,507.0,1.0,1
Belgien,2021-09-05,0.4643913317111424,1,2042.0,1.0,1
Belgien,2021-09-07,1.318127514948575,1,28508.0,6.0,6
Belgien,2021-09-17,-0.08118953232865103,1,12658.0,2.0,2
Belgien,2021-09-22,0.1465902237441899,1,26344.0,5.0,5
Belgien,2021-11-29,-0.03172180948633076,1,3047.0,1.0,1
Belgien,2021-12-11,0.12725930561735735,1,14031.0,4.0,4
Belgien,2021-12-16,0.01533307115286533,1,15149.0,4.0,4
Belgien,2021-12-21,0.1169608789398012,1,27187.0,6.0,6
Belgien,2022-01-18,-0.0809666581778913,1,2817.0,1.0,1
Belgien,2022-01-20,0.4305987323682179,1,6665.0,2.0,2
Belgien,2022-01-30,-0.04262344440770303,1,4352.0,2.0,2
Belgien,2022-02-02,-0.1854489267833864,1,2495.0,1.0,1
Belgien,2022-02-07,0.02392144894898731,1,2812.0,1.0,1
Belgien,2022-02-12,-0.01683409319760525,1,2585.0,1.0,1
Belgien,2022-02-17,0.023548010342176084,1,2908.0,1.0,1
Belgien,2022-02-24,0.3128428488539216,1,25981.0,5.0,5
Belgien,2022-02-27,-0.7658774039772442,1,2611.0,1.0,1
Belgien,2022-03-04,-0.015193149909679349,1,2420.0,1.0,1
Belgien,2022-03-06,1.2446009100185034,1,29165.0,6.0,6
Belgien,2022-03-09,-0.7792173073032685,1,2816.0,1.0,1
Belgien,2022-03-11,1.1981237399913778,1,30925.0,6.0,6
Belgien,2022-03-19,-0.31105469155635457,1,2568.0,1.0,1
Belgien,2022-03-21,1.2344884823365572,1,30329.0,6.0,6
Belgien,2022-03-24,-0.8302090306464581,1,2513.0,1.0,1
Belgien,2022-03-26,1.2280039315704747,1,29297.0,6.0,6
Belgien,2022-04-03,-0.313483349753335,1,2386.0,1.0,1
Belgien,2022-04-10,0.007294679499960591,1,2511.0,1.0,1
Belgien,2022-04-15,0.35751382018588557,1,15003.0,2.0,2
Belgien,2022-04-18,-0.6077479130901624,1,2423.0,1.0,1
