scope,port_slug,port_id,polygon_port_name,num_cases,num_cases_port_mapped,num_cases_with_roi,num_cases_without_roi,num_cases_empty_roi,avg_roi_coverage_ratio,avg_dice_pre_roi,avg_dice_post_roi,delta_dice,avg_iou_pre_roi,avg_iou_post_roi,delta_iou,avg_precision_pre_roi,avg_precision_post_roi,delta_precision,avg_recall_pre_roi,avg_recall_post_roi,delta_recall
overall,,,,39530,39530,39530,0,0,0.1458115465514967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,abu_dhabi,abu_dhabi,Abu Dhabi,1097,1097,1097,0,0,0.15056610107421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,algeciras,algeciras,Algeciras,800,800,800,0,0,0.0769500732421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,antwerpbrugges,antwerpbrugges,Antwerp-Brugges,1274,1274,1274,0,0,0.12612709033433084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,balboa,balboa,Balboa,93,93,93,0,0,0.11091232299804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,bremen,bremen,Bremen,949,949,949,0,0,0.13685037916402545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,busan,busan,Busan,937,937,937,0,0,0.23582655541288688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,cai_mep,cai_mep,Cai Mep,345,345,345,0,0,0.07846253989399343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,colombo,colombo,Colombo,249,249,249,0,0,0.10109710693359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,colon,colon,Colon,212,212,212,0,0,0.20103836059570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,da_lian,da_lian,Da Lian,1293,1293,1293,0,0,0.2571961446409528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,dongguan,dongguan,Dongguan,348,348,348,0,0,0.055473722260573816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,guangxi_beibu,guangxi_beibu,Guangxi Beibu,547,547,547,0,0,0.07967418552098807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,guangzhou,guangzhou,Guangzhou,882,882,882,0,0,0.08742370951473037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,hai_phong,hai_phong,Hai Phong,503,503,503,0,0,0.13599061302351903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,hamborg,hamborg,Hamborg,650,650,650,0,0,0.1690597182053786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,ho_chi_minh_city,ho_chi_minh_city,Ho Chi Minh City,492,492,492,0,0,0.07900154299852324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,hong_kong,hong_kong,Hong Kong,387,387,387,0,0,0.18030033555141714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,houston,houston,Houston,1999,1999,1999,0,0,0.08130957759458342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,jawaharal_nehru,jawaharal_nehru,Jawaharal Nehru,257,257,257,0,0,0.21403898246557332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,jebel_ali,jebel_ali,Jebel Ali,1118,1118,1118,0,0,0.19976408792949532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,kaohsiung,kaohsiung,Kaohsiung,880,880,880,0,0,0.10034033168445934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,laem_chabang,laem_chabang,Laem Chabang,535,535,535,0,0,0.21192398071289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,lianyungang,lianyungang,Lianyungang,237,237,237,0,0,0.09421920776367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
