forecast_horizon_months,model_id,n_predictions,n_countries,date_min,date_max,rmse,mae,bias,corr,directional_accuracy,active_directional_accuracy,predicted_positive_rate,actual_positive_rate,mean_actual_return,mean_predicted_return,strategy_mean_monthly_return,strategy_monthly_vol,strategy_annualized_sharpe,rmse_improvement_vs_historical_mean
1,distributed_lag,8259,19,2020-01-01,2026-04-01,0.0517908511897833,0.03777987042074064,-0.003805613991997456,0.717062653870309,0.8286717520280905,0.8286717520280905,0.6531057028695968,0.5914759656132704,0.007542273153033159,0.0037366591610357,0.03361416575215892,0.04973358379728816,2.3413330989413077,0.13966282697382104
1,random_forest_panel,8259,19,2020-01-01,2026-04-01,0.05318977081020607,0.03727414129677953,-0.0033721206721492557,0.6057816339178491,0.8402954352827219,0.8402954352827219,0.6351858578520402,0.5914759656132704,0.007542273153033159,0.004170152480883901,0.031564519108057465,0.051059011251811094,2.1414966514728566,0.11642431044287815
1,elastic_net_panel,8259,19,2020-01-01,2026-04-01,0.05762806954983359,0.04204857562755783,-0.004279725049724804,0.3511114259244873,0.7118295193122655,0.7118295193122655,0.6646083060903257,0.5914759656132704,0.007542273153033159,0.003262548103308352,0.018751565808346356,0.057023857079916584,1.139125494650765,0.0426963584402269
1,ols_predictive,8259,19,2020-01-01,2026-04-01,0.06019781164621018,0.04464983172456968,-0.004859556615342834,-0.033777433826092856,0.5591475965613271,0.5591475965613271,0.6656980263954474,0.5914759656132704,0.007542273153033159,0.002682716537690323,0.001992626199130511,0.05999475758235911,0.11505437996474996,8.420323482360992e-06
1,historical_mean,8259,19,2020-01-01,2026-04-01,0.06019831853552534,0.044652233352449736,-0.004853238463909314,-0.034339739150194594,0.5606005569681559,0.5606005569681559,0.666182346531057,0.5914759656132704,0.007542273153033159,0.0026890346891238434,0.0020375966540426434,0.05999324709007616,0.11765393944539441,0.0
1,always_positive,8259,19,2020-01-01,2026-04-01,0.9942428250636105,0.9924577268469671,0.9924577268469671,,0.5914759656132704,0.5914759656132704,1.0,0.5914759656132704,0.007542273153033159,1.0,0.007542273153033159,0.05955212516964053,0.43872826598221626,-15.51612286274856
2,distributed_lag,8233,19,2020-01-01,2026-03-01,0.07945680388193561,0.05931038383665717,-0.009141853198651328,0.4189359581044688,0.6854123648730718,0.6854123648730718,0.6810397182072149,0.611320296368274,0.01546878419098355,0.0063269309923322204,0.031029182002276653,0.07952988237487879,1.3515453095205676,0.06506363536114135
2,random_forest_panel,8233,19,2020-01-01,2026-03-01,0.0796784221596058,0.05917985311010336,-0.007767222093428565,0.3698756739657346,0.6769099963561278,0.6769099963561278,0.7143204178306815,0.611320296368274,0.01546878419098355,0.007701562097554987,0.030492605089124627,0.07973715169963845,1.324721040160672,0.062455941913386215
2,elastic_net_panel,8233,19,2020-01-01,2026-03-01,0.08323585642389038,0.06218525887404803,-0.009482805526565602,0.17905408691073588,0.624195311551075,0.624195311551075,0.6863840641321511,0.611320296368274,0.01546878419098355,0.005985978664417947,0.019255765748049273,0.08316867085476788,0.8020319255193163,0.02059703876100183
2,historical_mean,8233,19,2020-01-01,2026-03-01,0.0849863230131472,0.06385900946655665,-0.010033074652266959,0.02211764308892847,0.5621280213773837,0.5621280213773837,0.679460706911211,0.611320296368274,0.01546878419098355,0.00543570953871659,0.007994394782384692,0.08499354080373311,0.32582941733957377,0.0
