country,currency,fx_symbol,date,usd_per_local_currency
Belgien,EUR,EURUSD=X,2017-01-02,1.052698016166687
Belgien,EUR,EURUSD=X,2017-01-03,1.0460032224655151
Belgien,EUR,EURUSD=X,2017-01-04,1.0419923067092896
Belgien,EUR,EURUSD=X,2017-01-05,1.0500892400741577
Belgien,EUR,EURUSD=X,2017-01-06,1.0605915784835815
Belgien,EUR,EURUSD=X,2017-01-09,1.0531858205795288
Belgien,EUR,EURUSD=X,2017-01-10,1.0588620901107788
Belgien,EUR,EURUSD=X,2017-01-11,1.0552419424057007
Belgien,EUR,EURUSD=X,2017-01-12,1.0597710609436035
Belgien,EUR,EURUSD=X,2017-01-13,1.0616837739944458
Belgien,EUR,EURUSD=X,2017-01-16,1.0628687143325806
Belgien,EUR,EURUSD=X,2017-01-17,1.0602991580963135
Belgien,EUR,EURUSD=X,2017-01-18,1.0696789026260376
Belgien,EUR,EURUSD=X,2017-01-19,1.062778353691101
Belgien,EUR,EURUSD=X,2017-01-20,1.0659730434417725
Belgien,EUR,EURUSD=X,2017-01-23,1.0713750123977661
Belgien,EUR,EURUSD=X,2017-01-24,1.0760787725448608
Belgien,EUR,EURUSD=X,2017-01-25,1.0728693008422852
Belgien,EUR,EURUSD=X,2017-01-26,1.0751993656158447
Belgien,EUR,EURUSD=X,2017-01-27,1.068296194076538
Belgien,EUR,EURUSD=X,2017-01-30,1.0713980197906494
Belgien,EUR,EURUSD=X,2017-01-31,1.0708587169647217
Belgien,EUR,EURUSD=X,2017-02-01,1.0803803205490112
Belgien,EUR,EURUSD=X,2017-02-02,1.0767391920089722
Belgien,EUR,EURUSD=X,2017-02-03,1.0761713981628418
Belgien,EUR,EURUSD=X,2017-02-06,1.0782949924468994
Belgien,EUR,EURUSD=X,2017-02-07,1.0743216276168823
Belgien,EUR,EURUSD=X,2017-02-08,1.0678056478500366
Belgien,EUR,EURUSD=X,2017-02-09,1.0692213773727417
Belgien,EUR,EURUSD=X,2017-02-10,1.0658594369888306
Belgien,EUR,EURUSD=X,2017-02-13,1.061954379081726
Belgien,EUR,EURUSD=X,2017-02-14,1.059849739074707
Belgien,EUR,EURUSD=X,2017-02-15,1.0578316450119019
Belgien,EUR,EURUSD=X,2017-02-16,1.0607378482818604
Belgien,EUR,EURUSD=X,2017-02-17,1.0672245025634766
Belgien,EUR,EURUSD=X,2017-02-20,1.062665343284607
Belgien,EUR,EURUSD=X,2017-02-21,1.0609403848648071
Belgien,EUR,EURUSD=X,2017-02-22,1.0542073249816895
Belgien,EUR,EURUSD=X,2017-02-23,1.0554089546203613
Belgien,EUR,EURUSD=X,2017-02-24,1.0584474802017212
Belgien,EUR,EURUSD=X,2017-02-27,1.055275321006775
Belgien,EUR,EURUSD=X,2017-02-28,1.0584250688552856
Belgien,EUR,EURUSD=X,2017-03-01,1.0569148063659668
Belgien,EUR,EURUSD=X,2017-03-02,1.0535852909088135
Belgien,EUR,EURUSD=X,2017-03-03,1.0509721040725708
Belgien,EUR,EURUSD=X,2017-03-06,1.062044620513916
Belgien,EUR,EURUSD=X,2017-03-07,1.0579211711883545
Belgien,EUR,EURUSD=X,2017-03-08,1.0570154190063477
Belgien,EUR,EURUSD=X,2017-03-09,1.0547411441802979
Belgien,EUR,EURUSD=X,2017-03-10,1.0578428506851196
Belgien,EUR,EURUSD=X,2017-03-13,1.0690041780471802
Belgien,EUR,EURUSD=X,2017-03-14,1.0651443004608154
Belgien,EUR,EURUSD=X,2017-03-15,1.0612443685531616
Belgien,EUR,EURUSD=X,2017-03-16,1.0737909078598022
Belgien,EUR,EURUSD=X,2017-03-17,1.077470064163208
Belgien,EUR,EURUSD=X,2017-03-20,1.0742985010147095
Belgien,EUR,EURUSD=X,2017-03-21,1.073767900466919
Belgien,EUR,EURUSD=X,2017-03-22,1.081244707107544
Belgien,EUR,EURUSD=X,2017-03-23,1.0790164470672607
Belgien,EUR,EURUSD=X,2017-03-24,1.0783880949020386
Belgien,EUR,EURUSD=X,2017-03-27,1.0849517583847046
Belgien,EUR,EURUSD=X,2017-03-28,1.0860947370529175
Belgien,EUR,EURUSD=X,2017-03-29,1.0817711353302002
Belgien,EUR,EURUSD=X,2017-03-30,1.0759629011154175
Belgien,EUR,EURUSD=X,2017-03-31,1.0687072277069092
Belgien,EUR,EURUSD=X,2017-04-03,1.0668829679489136
Belgien,EUR,EURUSD=X,2017-04-04,1.067008137702942
Belgien,EUR,EURUSD=X,2017-04-05,1.0680338144302368
Belgien,EUR,EURUSD=X,2017-04-06,1.0672472715377808
Belgien,EUR,EURUSD=X,2017-04-07,1.0644639730453491
Belgien,EUR,EURUSD=X,2017-04-10,1.0582010746002197
Belgien,EUR,EURUSD=X,2017-04-11,1.0597598552703857
Belgien,EUR,EURUSD=X,2017-04-12,1.0611318349838257
Belgien,EUR,EURUSD=X,2017-04-13,1.0670650005340576
Belgien,EUR,EURUSD=X,2017-04-14,1.0616387128829956
Belgien,EUR,EURUSD=X,2017-04-17,1.0610530376434326
Belgien,EUR,EURUSD=X,2017-04-18,1.0644525289535522
Belgien,EUR,EURUSD=X,2017-04-19,1.0728693008422852
Belgien,EUR,EURUSD=X,2017-04-20,1.0715012550354004
Belgien,EUR,EURUSD=X,2017-04-21,1.0714898109436035
Belgien,EUR,EURUSD=X,2017-04-24,1.087393879890442
Belgien,EUR,EURUSD=X,2017-04-25,1.0864840745925903
Belgien,EUR,EURUSD=X,2017-04-26,1.0928245782852173
Belgien,EUR,EURUSD=X,2017-04-27,1.090893268585205
Belgien,EUR,EURUSD=X,2017-04-28,1.0864251852035522
Belgien,EUR,EURUSD=X,2017-05-01,1.0907504558563232
Belgien,EUR,EURUSD=X,2017-05-02,1.090893268585205
Belgien,EUR,EURUSD=X,2017-05-03,1.0935654640197754
Belgien,EUR,EURUSD=X,2017-05-04,1.0888975858688354
Belgien,EUR,EURUSD=X,2017-05-05,1.098152995109558
Belgien,EUR,EURUSD=X,2017-05-08,1.0965152978897095
Belgien,EUR,EURUSD=X,2017-05-09,1.0927767753601074
Belgien,EUR,EURUSD=X,2017-05-10,1.0886842012405396
Belgien,EUR,EURUSD=X,2017-05-11,1.087074637413025
Belgien,EUR,EURUSD=X,2017-05-12,1.0864958763122559
Belgien,EUR,EURUSD=X,2017-05-15,1.0927289724349976
Belgien,EUR,EURUSD=X,2017-05-16,1.0981770753860474
Belgien,EUR,EURUSD=X,2017-05-17,1.1093976497650146
Belgien,EUR,EURUSD=X,2017-05-18,1.115635633468628
Belgien,EUR,EURUSD=X,2017-05-19,1.1113580465316772
Belgien,EUR,EURUSD=X,2017-05-22,1.120485782623291
Belgien,EUR,EURUSD=X,2017-05-23,1.123885989189148
Belgien,EUR,EURUSD=X,2017-05-24,1.11793053150177
Belgien,EUR,EURUSD=X,2017-05-25,1.1230907440185547
Belgien,EUR,EURUSD=X,2017-05-26,1.121076226234436
Belgien,EUR,EURUSD=X,2017-05-29,1.1176055669784546
Belgien,EUR,EURUSD=X,2017-05-30,1.1129041910171509
Belgien,EUR,EURUSD=X,2017-05-31,1.117168664932251
Belgien,EUR,EURUSD=X,2017-06-01,1.1243535280227661
Belgien,EUR,EURUSD=X,2017-06-02,1.1215791702270508
Belgien,EUR,EURUSD=X,2017-06-05,1.128082513809204
Belgien,EUR,EURUSD=X,2017-06-06,1.1256824731826782
Belgien,EUR,EURUSD=X,2017-06-07,1.1271415948867798
Belgien,EUR,EURUSD=X,2017-06-08,1.125517725944519
Belgien,EUR,EURUSD=X,2017-06-09,1.1184805631637573
Belgien,EUR,EURUSD=X,2017-06-12,1.1201971769332886
Belgien,EUR,EURUSD=X,2017-06-13,1.1196202039718628
Belgien,EUR,EURUSD=X,2017-06-14,1.1208877563476562
Belgien,EUR,EURUSD=X,2017-06-15,1.1215791702270508
Belgien,EUR,EURUSD=X,2017-06-16,1.1146905422210693
Belgien,EUR,EURUSD=X,2017-06-19,1.120824933052063
Belgien,EUR,EURUSD=X,2017-06-20,1.1144545078277588
